,tamcel,nodos,grado,smallworldness,beta,mean-sw,stdev-sw,sw-min,sw-max,swdiff,absswdiff
173,44,1287,6.89976689977,61.1304758193,0.4,25.3456820609,0.976296875954,23.6891581141,27.2383951349,35.7847937583,35.7847937583
174,44,1287,6.89976689977,61.1304758193,0.5,15.5474037322,0.857434593948,13.5873489576,17.5713973266,45.5830720871,45.5830720871
175,44,1287,6.89976689977,61.1304758193,0.6,8.42420937438,0.466852620983,7.615276298,9.2032834971,52.7062664449,52.7062664449
176,44,1287,6.89976689977,61.1304758193,0.7,4.06500451191,0.371664560884,3.11521614997,4.52235995668,57.0654713074,57.0654713074
177,44,1287,6.89976689977,61.1304758193,0.8,1.61390456452,0.273342236853,1.25011466322,2.41016721372,59.5165712548,59.5165712548
178,44,1287,6.89976689977,61.1304758193,0.9,0.868981083407,0.145297637679,0.610056350175,1.15910860187,60.2614947359,60.2614947359
179,44,1287,6.89976689977,61.1304758193,1.0,0.78891368606,0.155808110208,0.521701553829,1.11095217941,60.3415621332,60.3415621332
180,46,1222,6.91489361702,63.7715575338,0.1,56.1915735091,0.368719555692,55.4027355413,56.7510892091,7.57998402473,7.57998402473
181,46,1222,6.91489361702,63.7715575338,0.2,48.5158203612,1.14027608761,46.0072010823,50.2024130469,15.2557371726,15.2557371726
182,46,1222,6.91489361702,63.7715575338,0.3,35.742185711,1.15915821879,33.5847675891,37.8461036768,28.0293718228,28.0293718228
183,46,1222,6.91489361702,63.7715575338,0.4,24.3334619849,1.1385281943,22.0308325409,26.9850327457,39.438095549,39.438095549
184,46,1222,6.91489361702,63.7715575338,0.5,14.4156959962,0.739528300971,12.4262192965,15.6571970627,49.3558615376,49.3558615376
185,46,1222,6.91489361702,63.7715575338,0.6,8.07624838789,0.674823390484,6.87065474783,9.16083195234,55.6953091459,55.6953091459
186,46,1222,6.91489361702,63.7715575338,0.7,3.80764832523,0.355291538891,3.24370487362,4.62416991905,59.9639092086,59.9639092086
187,46,1222,6.91489361702,63.7715575338,0.8,1.67218518658,0.233600120398,1.26175659304,2.04458985247,62.0993723472,62.0993723472
188,46,1222,6.91489361702,63.7715575338,0.9,0.874443896446,0.144268040684,0.666139937235,1.2172868191,62.8971136374,62.8971136374
189,46,1222,6.91489361702,63.7715575338,1.0,0.782554785319,0.165367789514,0.556629000331,1.19146665781,62.9890027485,62.9890027485
190,48,1137,7.58135444151,50.6918221674,0.1,44.0660940837,0.258651662463,43.5334529251,44.4834194925,6.62572808366,6.62572808366
191,48,1137,7.58135444151,50.6918221674,0.2,36.7468061433,0.656822994122,35.7832413511,38.1753832385,13.945016024,13.945016024
192,48,1137,7.58135444151,50.6918221674,0.3,26.7802146222,0.968933117433,25.1301636649,28.3967453421,23.9116075452,23.9116075452
193,48,1137,7.58135444151,50.6918221674,0.4,17.9060677454,0.51730326844,16.9456165382,18.8963418667,32.785754422,32.785754422
194,48,1137,7.58135444151,50.6918221674,0.5,11.1866347069,0.470837745054,10.4930954468,11.9473138895,39.5051874605,39.5051874605
195,48,1137,7.58135444151,50.6918221674,0.6,5.95160390502,0.457300107136,5.25707114914,6.96554665325,44.7402182624,44.7402182624
196,48,1137,7.58135444151,50.6918221674,0.7,2.93923046679,0.243286430306,2.37001540933,3.42132628901,47.7525917006,47.7525917006
197,48,1137,7.58135444151,50.6918221674,0.8,1.48999916666,0.138895710223,1.26240795448,1.6951005394,49.2018230007,49.2018230007
198,48,1137,7.58135444151,50.6918221674,0.9,0.875356943525,0.100732505594,0.62622944828,1.04590647687,49.8164652239,49.8164652239
